#!/bin/bash
### All planets on exoplanets.org with the filter PLANETDISCMETH = RV
### and with mass values > 0.0 (PLANETDISCMETH == 'RV' && MSINI[mjupiter] > 0.0)
### These were obtained on 4/March/2015 [CBH]
###    NAME        MSINI        A        Mstar
###               mjupiter      au       Msun
    HD-116029-b   1.91e+00   1.65e+00   1.33e+00
    HD-117207-b   1.82e+00   3.74e+00   1.03e+00
    HD-117618-b   1.77e-01   1.75e-01   1.07e+00
    HD-118203-b   2.14e+00   7.03e-02   1.23e+00
     HD-11964-b   6.08e-01   3.13e+00   1.08e+00
     HD-11964-c   7.71e-02   2.27e-01   1.08e+00
     HD-11977-b   7.40e+00   2.06e+00   2.31e+00
    HD-120084-b   4.48e+00   4.27e+00   2.39e+00
    HD-121504-b   1.22e+00   3.29e-01   1.18e+00
      HD-1237-b   3.37e+00   4.95e-01   9.00e-01
    HD-125595-b   4.17e-02   8.09e-02   7.56e-01
    HD-125612-b   3.07e+00   1.37e+00   1.10e+00
    HD-125612-c   5.81e-02   5.22e-02   1.10e+00
     HD-12661-b   2.34e+00   8.38e-01   1.14e+00
     HD-12661-c   1.95e+00   2.92e+00   1.14e+00
  HD-126614-A-b   3.86e-01   2.37e+00   1.15e+00
    HD-128311-b   1.46e+00   1.09e+00   8.28e-01
    HD-128311-c   3.25e+00   1.75e+00   8.28e-01
    HD-130322-b   1.04e+00   8.96e-02   8.36e-01
    HD-131496-b   2.24e+00   2.11e+00   1.61e+00
    HD-131664-b   1.83e+01   3.17e+00   1.10e+00
     HD-13189-b   7.12e+00   1.25e+00   1.17e+00
    HD-132406-b   5.60e+00   1.98e+00   1.09e+00
  HD-132563-B-b   1.49e+00   2.62e+00   1.01e+00
    HD-134987-b   1.56e+00   8.08e-01   1.05e+00
    HD-134987-c   8.05e-01   5.83e+00   1.05e+00
    HD-136118-b   1.17e+01   2.33e+00   1.19e+00
    HD-136418-b   1.99e+00   1.29e+00   1.33e+00
    HD-137388-b   2.28e-01   8.89e-01   8.60e-01
     HD-13908-b   8.65e-01   1.54e-01   1.29e+00
     HD-13908-c   5.13e+00   2.03e+00   1.29e+00
     HD-13931-b   1.88e+00   5.15e+00   1.02e+00
    HD-139357-b   1.01e+01   2.35e+00   1.35e+00
    HD-141937-b   9.48e+00   1.50e+00   1.05e+00
       HD-142-b   1.31e+00   1.04e+00   1.23e+00
    HD-142022-b   4.47e+00   2.93e+00   9.00e-01
