wave flux sn
499.99999999999994 2.9138382685416533e-15 0.0
500.1976012218875 2.9138382685416537e-15 0.0
500.3952805362608 2.913838268541653e-15 0.0
500.5930379739823 2.9138382685416533e-15 0.0
500.7908735659264 2.9138382685416537e-15 0.0
500.98878734297995 2.9138382685416533e-15 0.0
501.1867793360418 2.9138382685416537e-15 0.0
501.3848495760232 2.9138382685416533e-15 0.0
501.5829980938475 2.9138382685416533e-15 0.0
501.7812249204502 2.9138382685416533e-15 0.0
501.9795300867793 2.9138382685416537e-15 0.0
502.1779136237946 2.913838268541653e-15 0.0
502.37637556246864 2.9138382685416533e-15 0.0
502.5749159337858 2.913838268541653e-15 0.0
502.77353476874293 2.9138382685416537e-15 0.0
502.97223209834897 2.9138382685416533e-15 0.0
503.1710079536253 2.9138382685416533e-15 0.0
503.36986236560534 2.9138382685416533e-15 0.0
503.56879536533495 2.9138382685416537e-15 0.0
503.7678069838723 2.9138382685416533e-15 0.0
503.9668972522875 2.9138382685416533e-15 0.0
504.1660662016634 2.9138382685416537e-15 0.0
504.36531386309474 2.9138382685416533e-15 0.0
504.56464026768884 2.9138382685416537e-15 0.0
504.76404544656515 2.9138382685416537e-15 0.0
504.9635294308555 2.9138382685416537e-15 0.0
505.16309225170386 2.9138382685416533e-15 0.0
505.3627339402667 2.9138382685416533e-15 0.0
505.56245452771276 2.9138382685416533e-15 0.0
505.7622540452231 2.913838268541653e-15 0.0
505.962132523991 2.9138382685416533e-15 0.0
506.1620899952221 2.9138382685416533e-15 0.0
506.36212649013453 2.913838268541654e-15 0.0
506.5622420399586 2.9138382685416537e-15 0.0
506.762436675937 2.913838268541653e-15 0.0
506.9627104293248 2.9138382685416533e-15 0.0
507.1630633313893 2.9138382685416533e-15 0.0
507.36349541341036 2.9138382685416537e-15 0.0
507.56400670668 2.9138382685416533e-15 0.0
507.76459724250276 2.913838268541653e-15 0.0
507.9652670521955 2.913838268541653e-15 0.0
508.1660161670874 2.9138382685416533e-15 0.0
508.3668446185201 2.9138382685416533e-15 0.0
508.56775243784756 2.913838268541653e-15 0.0
508.76873965643625 2.9138382685416533e-15 0.0
508.96980630566486 2.913838268541653e-15 0.0
509.1709524169246 2.9138382685416533e-15 0.0
509.37217802161905 2.9138382685416533e-15 0.0
509.5734831511643 2.9138382685416533e-15 0.0
509.77486783698913 2.9138382685416533e-15 0.0
509.97633211053346 2.9138382685416533e-15 0.0
510.177876003251 2.9138382685416533e-15 0.0
510.37949954660746 2.9138382685416537e-15 0.0
510.58120277208104 2.913838268541653e-15 0.0
510.7829857111622 2.9138382685416537e-15 0.0
510.984848395354 2.9138382685416537e-15 0.0
511.1867908561719 2.913838268541653e-15 0.0
511.3888131251438 2.9138382685416533e-15 0.0
511.5909152338101 2.9138382685416533e-15 0.0
511.7930972137237 2.913838268541653e-15 0.0
511.99535909644976 2.9138382685416537e-15 0.0
512.1977009135662 2.9138382685416533e-15 0.0
512.4001226966633 2.9138382685416537e-15 0.0
512.6026244773436 2.9138382685416533e-15 0.0
512.8052062872226 2.9138382685416533e-15 0.0
513.007868157928 2.9138382685416537e-15 0.0
513.2106101210998 2.9138382685416533e-15 0.0
513.413432208391 2.9138382685416537e-15 0.0
513.6163344514667 2.9138382685416537e-15 0.0
513.8193168820047 2.913838268541653e-15 0.0
514.0223795316954 2.9138382685416537e-15 0.0
514.2255224322414 2.9138382685416533e-15 0.0
514.4287456153581 2.9138382685416537e-15 0.0
514.6320491127735 2.9138382685416533e-15 0.0
514.8354329562279 2.9138382685416537e-15 0.0
515.0388971774743 2.9138382685416533e-15 0.0
515.242441808278 2.913838268541653e-15 0.0
515.4460668804173 2.9138382685416533e-15 0.0
515.6497724256827 2.9138382685416533e-15 0.0
515.8535584758774 2.9138382685416533e-15 0.0
516.0574250628172 2.913838268541653e-15 0.0
516.2613722183303 2.9138382685416533e-15 0.0
516.4653999742577 2.9138382685416537e-15 0.0
516.6695083624528 2.9138382685416533e-15 0.0
516.8736974147818 2.9138382685416537e-15 0.0
517.0779671631232 2.9138382685416533e-15 0.0
517.2823176393682 2.913838268541653e-15 0.0
517.486748875421 2.913838268541654e-15 0.0
517.6912609031978 2.913838268541653e-15 0.0
517.8958537546278 2.913838268541653e-15 0.0
518.1005274616526 2.9138382685416533e-15 0.0
518.3052820562266 2.913838268541653e-15 0.0
518.5101175703168 2.9138382685416537e-15 0.0
518.7150340359027 2.9138382685416533e-15 0.0
518.9200314849766 2.9138382685416537e-15 0.0
519.1251099495433 2.9138382685416533e-15 0.0
519.3302694616204 2.9138382685416537e-15 0.0
519.535510053238 2.913838268541653e-15 0.0
519.740831756439 2.913838268541653e-15 0.0
519.9462346032789 2.9138382685416533e-15 0.0
520.1517186258258 2.9138382685416533e-15 0.0
520.3572838561605 2.9138382685416533e-15 0.0
520.5629303263767 2.9138382685416533e-15 0.0
520.7686580685804 2.9138382685416533e-15 0.0
520.9744671148906 2.9138382685416533e-15 0.0
521.1803574974388 2.9138382685416533e-15 0.0
521.3863292483694 2.9138382685416533e-15 0.0
