wave flux sn
499.99999999999994 7.319230810363147e-16 0.0
500.1976012218875 7.319230810363148e-16 0.0
500.3952805362608 7.319230810363146e-16 0.0
500.5930379739823 7.319230810363147e-16 0.0
500.7908735659264 7.319230810363148e-16 0.0
500.98878734297995 7.319230810363147e-16 0.0
501.1867793360418 7.319230810363148e-16 0.0
501.3848495760232 7.319230810363147e-16 0.0
501.5829980938475 7.319230810363147e-16 0.0
501.7812249204502 7.319230810363147e-16 0.0
501.9795300867793 7.319230810363148e-16 0.0
502.1779136237946 7.319230810363146e-16 0.0
502.37637556246864 7.319230810363147e-16 0.0
502.5749159337858 7.319230810363146e-16 0.0
502.77353476874293 7.319230810363148e-16 0.0
502.97223209834897 7.319230810363147e-16 0.0
503.1710079536253 7.319230810363147e-16 0.0
503.36986236560534 7.319230810363147e-16 0.0
503.56879536533495 7.319230810363148e-16 0.0
503.7678069838723 7.319230810363147e-16 0.0
503.9668972522875 7.319230810363147e-16 0.0
504.1660662016634 7.319230810363148e-16 0.0
504.36531386309474 7.319230810363147e-16 0.0
504.56464026768884 7.319230810363148e-16 0.0
504.76404544656515 7.319230810363148e-16 0.0
504.9635294308555 7.319230810363148e-16 0.0
505.16309225170386 7.319230810363147e-16 0.0
505.3627339402667 7.319230810363147e-16 0.0
505.56245452771276 7.319230810363147e-16 0.0
505.7622540452231 7.319230810363146e-16 0.0
505.962132523991 7.319230810363147e-16 0.0
506.1620899952221 7.319230810363147e-16 0.0
506.36212649013453 7.319230810363149e-16 0.0
506.5622420399586 7.319230810363148e-16 0.0
506.762436675937 7.319230810363146e-16 0.0
506.9627104293248 7.319230810363147e-16 0.0
507.1630633313893 7.319230810363147e-16 0.0
507.36349541341036 7.319230810363148e-16 0.0
507.56400670668 7.319230810363147e-16 0.0
507.76459724250276 7.319230810363146e-16 0.0
507.9652670521955 7.319230810363146e-16 0.0
508.1660161670874 7.319230810363147e-16 0.0
508.3668446185201 7.319230810363147e-16 0.0
508.56775243784756 7.319230810363146e-16 0.0
508.76873965643625 7.319230810363147e-16 0.0
508.96980630566486 7.319230810363146e-16 0.0
509.1709524169246 7.319230810363147e-16 0.0
509.37217802161905 7.319230810363147e-16 0.0
509.5734831511643 7.319230810363147e-16 0.0
509.77486783698913 7.319230810363147e-16 0.0
509.97633211053346 7.319230810363147e-16 0.0
510.177876003251 7.319230810363147e-16 0.0
510.37949954660746 7.319230810363148e-16 0.0
510.58120277208104 7.319230810363146e-16 0.0
510.7829857111622 7.319230810363148e-16 0.0
510.984848395354 7.319230810363148e-16 0.0
511.1867908561719 7.319230810363146e-16 0.0
511.3888131251438 7.319230810363147e-16 0.0
511.5909152338101 7.319230810363147e-16 0.0
511.7930972137237 7.319230810363146e-16 0.0
511.99535909644976 7.319230810363148e-16 0.0
512.1977009135662 7.319230810363147e-16 0.0
512.4001226966633 7.319230810363148e-16 0.0
512.6026244773436 7.319230810363147e-16 0.0
512.8052062872226 7.319230810363147e-16 0.0
513.007868157928 7.319230810363148e-16 0.0
513.2106101210998 7.319230810363147e-16 0.0
513.413432208391 7.319230810363148e-16 0.0
513.6163344514667 7.319230810363148e-16 0.0
513.8193168820047 7.319230810363146e-16 0.0
514.0223795316954 7.319230810363148e-16 0.0
514.2255224322414 7.319230810363147e-16 0.0
514.4287456153581 7.319230810363148e-16 0.0
514.6320491127735 7.319230810363147e-16 0.0
514.8354329562279 7.319230810363148e-16 0.0
515.0388971774743 7.319230810363147e-16 0.0
515.242441808278 7.319230810363146e-16 0.0
515.4460668804173 7.319230810363147e-16 0.0
515.6497724256827 7.319230810363147e-16 0.0
515.8535584758774 7.319230810363147e-16 0.0
516.0574250628172 7.319230810363146e-16 0.0
516.2613722183303 7.319230810363147e-16 0.0
516.4653999742577 7.319230810363148e-16 0.0
516.6695083624528 7.319230810363147e-16 0.0
516.8736974147818 7.319230810363148e-16 0.0
517.0779671631232 7.319230810363147e-16 0.0
517.2823176393682 7.319230810363146e-16 0.0
517.486748875421 7.319230810363149e-16 0.0
517.6912609031978 7.319230810363146e-16 0.0
517.8958537546278 7.319230810363146e-16 0.0
518.1005274616526 7.319230810363147e-16 0.0
518.3052820562266 7.319230810363146e-16 0.0
518.5101175703168 7.319230810363148e-16 0.0
518.7150340359027 7.319230810363147e-16 0.0
518.9200314849766 7.319230810363148e-16 0.0
519.1251099495433 7.319230810363147e-16 0.0
519.3302694616204 7.319230810363148e-16 0.0
519.535510053238 7.319230810363146e-16 0.0
519.740831756439 7.319230810363146e-16 0.0
519.9462346032789 7.319230810363147e-16 0.0
520.1517186258258 7.319230810363147e-16 0.0
520.3572838561605 7.319230810363147e-16 0.0
520.5629303263767 7.319230810363147e-16 0.0
520.7686580685804 7.319230810363147e-16 0.0
520.9744671148906 7.319230810363147e-16 0.0
521.1803574974388 7.319230810363147e-16 0.0
521.3863292483694 7.319230810363147e-16 0.0
521.5923823998393 7.319230810363148e-16 0.0
521.7985169840182 7.319230810363148e-16 0.0
522.0047330330885 7.319230810363147e-16 0.0
522.2110305792453 7.319230810363147e-16 0.0
522.4174096546966 7.319230810363146e-16 0.0
522.6238702916628 7.319230810363146e-16 0.0
522.8304125223773 7.319230810363149e-16 0.0
523.0370363790861 7.319230810363146e-16 0.0
523.243741894048 7.319230810363148e-16 0.0
523.4505290995345 7.319230810363147e-16 0.0
523.65739802783 7.319230810363147e-16 0.0
523.8643487112315 7.319230810363148e-16 0.0
524.0713811820489 7.319230810363148e-16 0.0
524.2784954726046 7.319230810363146e-16 0.0
524.4856916152341 7.319230810363146e-16 0.0
524.6929696422856 7.319230810363147e-16 0.0
524.9003295861198 7.319230810363147e-16 0.0
525.1077714791106 7.319230810363146e-16 0.0
525.3152953536445 7.319230810363148e-16 0.0
525.5229012421207 7.319230810363146e-16 0.0
525.7305891769514 7.319230810363146e-16 0.0
525.9383591905614 7.319230810363147e-16 0.0
526.1462113153887 7.319230810363147e-16 0.0
526.3541455838835 7.319230810363145e-16 0.0
526.5621620285094 7.319230810363147e-16 0.0
526.7702606817426 7.319230810363147e-16 0.0
526.9784415760721 7.319230810363147e-16 0.0
527.1867047439997 7.319230810363147e-16 0.0
527.3950502180403 7.319230810363146e-16 0.0
527.6034780307214 7.319230810363148e-16 0.0
527.8119882145834 7.319230810363148e-16 0.0
528.0205808021796 7.319230810363147e-16 0.0
528.2292558260762 7.319230810363146e-16 0.0
528.4380133188521 7.319230810363149e-16 0.0
528.6468533130994 7.319230810363149e-16 0.0
528.8557758414228 7.319230810363146e-16 0.0
529.0647809364399 7.319230810363147e-16 0.0
529.2738686307813 7.319230810363147e-16 0.0
529.483038957091 7.319230810363147e-16 0.0
529.6922919480244 7.319230810363146e-16 0.0
529.9016276362511 7.319230810363147e-16 0.0
530.1110460544534 7.319230810363147e-16 0.0
530.3205472353262 7.319230810363147e-16 0.0
530.5301312115778 7.319230810363147e-16 0.0
530.739798015929 7.319230810363146e-16 0.0
530.9495476811136 7.319230810363146e-16 0.0
531.1593802398784 7.319230810363146e-16 0.0
531.3692957249833 7.319230810363148e-16 0.0
531.5792941692009 7.319230810363147e-16 0.0
531.7893756053168 7.319230810363148e-16 0.0
531.9995400661296 7.319230810363147e-16 0.0
532.2097875844511 7.319230810363149e-16 0.0
532.4201181931054 7.319230810363146e-16 0.0
532.6305319249304 7.319230810363147e-16 0.0
532.8410288127764 7.319230810363147e-16 0.0
533.0516088895068 7.319230810363146e-16 0.0
533.2622721879982 7.319230810363148e-16 0.0
533.47301874114 7.319230810363146e-16 0.0
533.6838485818346 7.319230810363147e-16 0.0
533.8947617429974 7.319230810363148e-16 0.0
534.105758257557 7.319230810363147e-16 0.0
534.3168381584547 7.319230810363147e-16 0.0
534.5280014786451 7.319230810363147e-16 0.0
534.7392482510958 7.319230810363147e-16 0.0
534.9505785087871 7.319230810363147e-16 0.0
535.1619922847126 7.319230810363147e-16 0.0
535.3734896118791 7.319230810363147e-16 0.0
535.5850705233062 7.319230810363147e-16 0.0
535.7967350520264 7.319230810363146e-16 0.0
536.0084832310857 7.319230810363148e-16 0.0
536.2203150935428 7.319230810363148e-16 0.0
536.4322306724697 7.319230810363146e-16 0.0
536.6442300009512 7.319230810363147e-16 0.0
536.8563131120853 7.319230810363147e-16 0.0
537.0684800389834 7.319230810363147e-16 0.0
537.2807308147693 7.319230810363146e-16 0.0
537.4930654725806 7.319230810363146e-16 0.0
537.7054840455676 7.319230810363147e-16 0.0
537.9179865668937 7.319230810363146e-16 0.0
538.1305730697354 7.319230810363147e-16 0.0
538.3432435872827 7.319230810363146e-16 0.0
538.5559981527383 7.319230810363146e-16 0.0
538.7688367993179 7.319230810363147e-16 0.0
538.9817595602509 7.319230810363146e-16 0.0
539.1947664687793 7.319230810363147e-16 0.0
539.4078575581585 7.319230810363148e-16 0.0
539.6210328616571 7.319230810363148e-16 0.0
539.8342924125565 7.319230810363146e-16 0.0
