Wave   A_eff    LL_mode_BEF  Low_Res_BEF Low_Res_St_BEF Med_Res_BEF Med_Res_St_BEF
1650   17276.     1.32e-19     2.64e-18     7.92e-18     2.38e-17     3.96e-17
1660   16831.     1.34e-19     2.68e-18     8.04e-18     2.41e-17     4.02e-17
1670   16391.     1.36e-19     2.72e-18     8.15e-18     2.45e-17     4.08e-17
1680   15956.     1.38e-19     2.76e-18     8.28e-18     2.48e-17     4.14e-17
1690   15639.     1.39e-19     2.78e-18     8.34e-18     2.50e-17     4.17e-17
1700   15442.     1.39e-19     2.78e-18     8.35e-18     2.51e-17     4.18e-17
1710   15353.     1.38e-19     2.77e-18     8.30e-18     2.49e-17     4.15e-17
1720   15260.     1.38e-19     2.75e-18     8.26e-18     2.48e-17     4.13e-17
1730   15148.     1.37e-19     2.74e-18     8.22e-18     2.47e-17     4.11e-17
1740   15002.     1.37e-19     2.74e-18     8.21e-18     2.46e-17     4.10e-17
1750   14752.     1.38e-19     2.75e-18     8.25e-18     2.48e-17     4.13e-17
1760   14385.     1.39e-19     2.79e-18     8.36e-18     2.51e-17     4.18e-17
1770   13908.     1.43e-19     2.85e-18     8.55e-18     2.57e-17     4.28e-17
1780   13389.     1.46e-19     2.93e-18     8.79e-18     2.64e-17     4.39e-17
1790   12723.     1.52e-19     3.05e-18     9.14e-18     2.74e-17     4.57e-17
1800   11822.     1.62e-19     3.24e-18     9.73e-18     2.92e-17     4.87e-17
1810   10714.     1.77e-19     3.54e-18     1.06e-17     3.19e-17     5.31e-17
1820    9521.     1.97e-19     3.94e-18     1.18e-17     3.55e-17     5.91e-17
1830    8416.     2.20e-19     4.41e-18     1.32e-17     3.97e-17     6.61e-17
1840    7427.     2.47e-19     4.94e-18     1.48e-17     4.45e-17     7.41e-17
1850    6558.     2.77e-19     5.54e-18     1.66e-17     4.98e-17     8.30e-17
1860    5735.     3.13e-19     6.26e-18     1.88e-17     5.64e-17     9.39e-17
1870    4939.     3.60e-19     7.19e-18     2.16e-17     6.47e-17     1.08e-16
1880    4169.     4.22e-19     8.43e-18     2.53e-17     7.59e-17     1.26e-16
1890    3425.     5.08e-19     1.02e-17     3.05e-17     9.14e-17     1.52e-16
1900    2910.     5.91e-19     1.18e-17     3.55e-17     1.06e-16     1.77e-16
1910    2634.     6.46e-19     1.29e-17     3.88e-17     1.16e-16     1.94e-16
1920    2586.     6.52e-19     1.30e-17     3.91e-17     1.17e-16     1.96e-16
1930    2559.     6.52e-19     1.30e-17     3.91e-17     1.17e-16     1.95e-16
1940    2533.     6.52e-19     1.30e-17     3.91e-17     1.17e-16     1.95e-16
1950    2507.     6.52e-19     1.30e-17     3.91e-17     1.17e-16     1.96e-16
1960    2480.     6.52e-19     1.30e-17     3.91e-17     1.17e-16     1.96e-16
1970    2449.     6.54e-19     1.31e-17     3.92e-17     1.18e-16     1.96e-16
1980    2413.     6.57e-19     1.31e-17     3.94e-17     1.18e-16     1.97e-16
1990    2375.     6.60e-19     1.32e-17     3.96e-17     1.19e-16     1.98e-16
